dtiTransId,duration,batch,totalQueryWeight,CRDTHitAndMatch,MarketDataMakeKeyBreakdown,DtsQueryBreakdown,RemoteServiceQueueWC,RemoteServiceCacheWaitWC,CacheMissBreakdownInMemory,CacheHitBreakdownInMemory,CacheOverheadWallClock,CacheOverheadTimings,CacheMissBreakdownRedis,CacheHitBreakdownRedis,totalCacheHitOrWaits,totalCacheMisses,totalNumNonBatched,portfolio,portfolio2,portfolio3,portfolio4,portfolio5,riskmodel,addPositionsByHoldings,addPositionsByHoldingsWithoutAggregation,"create SinglePortfolioContext",createDatedPortfolioContext,"destroy DatedPortfolioContext","destroy SinglePortfolioContext","get Factor exposures",getAssetFactorRiskContributions,getAssetReturnsByBarraIdsWithPriority,getAssetReturnsByMarketIdsWithPriority,getFactorReturn,getFactorTree,getIndexLevelData,getLightPortfolioWithLastUpdated,getModelDescriptors,getPortfolioAttributeValues,"getPortfolioAttributes list",getPortfolioLastUpdated,"getPortfolioPositions with PositionsReportSpec",getPositionsWithTnC,getPriceHistoryByBarraIdWithPriority,getPriceHistoryByMarketIdsWithPriority,getReportDispatcherReport,searchPortfolioTree,"userAttributeRmiSvc getAttributeProperties","singlePortfolioContextRmiSvc getPortfolioInstrumentReturn"
"c5a1b32c-8447-44b4-9c88-99ad64c2f3e4",7763,"Factor Performance Attribution",NA,"0.000118","0.015513","7.588448","0.000000","2042.475915","0.009528","0.000744","0.036819","0.036819","0.000000","0.000000",286,243,,162921711,162921713,NA,NA,NA,USSLOWL,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,
"373a53ac-ea6f-4abd-a7be-619860b63aae",7763,"Factor Performance Attribution",NA,"0.000130","0.023028","12.150255","0.000000","5716.794160","0.016203","0.004649","0.045725","0.045725","0.000000","0.000000",309,220,,162921711,162921713,NA,NA,NA,USSLOWL,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,
"2c954f01-eb25-4338-9c5c-672e24665ec0",5092,"Factor Performance Attribution",NA,"0.000202","0.013885","12.808107","0.000000","0.000000","0.017133","0.002233","0.011784","0.011784","0.000000","0.000000",909,147,,162921711,162921713,NA,NA,NA,USSLOWL,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"633a3be5-c1b5-4667-8b2d-a9de8dfe7cd6",2030,"Factor Performance Attribution",242593,"1913.796200","3.406273","1031.593710","18.545908","1128.422846","3.674329","32.482044","60.827518","155.671447","0.000000","0.000000",1822688,412385,,69313,NA,NA,NA,NA,GEMLTL,20,,20,20,20,20,,,,,,,,3,,,3,2,6,,,,,,,
"05feba4b-91cd-4f83-9beb-6c559ca25fbd",2030,"Factor Performance Attribution",NA,"13.487173",0,0,"0.000000","2017.733922","0.052397","1.667276","0.151976","0.170783","0.000000","0.000000",11040,7075,,69313,NA,NA,NA,NA,GEMLTL,1,,1,1,1,1,,,,,,,,,,,,,1,,,,,,,
"1957afc1-0341-4e27-aa68-2f6ccdbd92d8",342,"Factor Performance Attribution",NA,"0.976026",0,0,"0.000000","334.827712","0.014839","1.489711","0.100656","0.104782","0.000000","0.000000",10855,1354,,69313,NA,NA,NA,NA,GEMLTL,2,,2,2,2,2,,,,,,,,,,,,,2,,,,,,,
"2a99ac26-5023-4edd-add1-c683ac1bcdb0",1459,"ESG Performance Profile",279151,"63410.164232","0.010943","230.302522","671.181114","1277.859541","13.384245","252.323885","122.840179","486.544920","0.000000","0.000000",4361183,1425561,,161915299,NA,NA,NA,NA,NA,512,,512,512,512,512,,,,,,,,180,,,180,162,243,,,,,,,
"2c623b6e-92fc-4413-a324-b8b40db8eb6b",2019,"Factor Performance Attribution",242593,"17654.773914","50.474546","844.128140","834.939763","3817.637430","16.071102","223.763130","244.480200","703.412522","0.000000","0.000000",3708087,1257210,,69313,NA,NA,NA,NA,GEMLTL,451,,451,451,451,451,,,,,,,,96,,,96,63,126,,,,,,,
"d1179cc4-6e29-466d-b819-484caffec462",335,"Factor Performance Attribution",57938,"82.824179","0.033517","200.956932","0.000000","251.511478","4.141514","60.198266","11.359173","14.163344","0.000000","0.000000",401500,73586,,69313,NA,NA,NA,NA,GEMLTL,1,,1,1,1,1,,,,,,,,,,,,,,,,,,,,
"5ca4df07-61e9-41d7-b47a-1a2aa0cfaf2c",2136,"Factor Performance Attribution",NA,"0.000088","0.019118","6.666266","0.000000","0.000000","0.015325","0.000624","0.025157","0.025157","0.000000","0.000000",267,261,,162921711,162921713,NA,NA,NA,USSLOWL,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,
"d0e8fac2-2ed2-41d9-84bb-3748dbcd87aa",1284,"Factor Performance Attribution",NA,"0.000078",0,0,0,"1281.935631",0,0,"0.001365","0.001365",0,"0.000000",1,0,,162921711,162921713,NA,NA,NA,USSLOWL,,,,,,,,,,,,,,,,,,,,,,,,,,
"04924416-e4b7-450f-9cdb-2b1362cd8d43",1283,"Factor Performance Attribution",NA,"0.000073",0,0,0,"1281.655868",0,0,"0.000035","0.000035",0,0,1,0,,162921711,162921713,NA,NA,NA,USSLOWL,,,,,,,,,,,,,,,,,,,,,,,,,,
"15200727-2337-4347-a03e-c0368ebd4d10",5016,"Factor Performance Attribution",NA,"227637.762489","0.007077","290.520345","0.000000","4.201695","1.187166","19.560258","10.037043","10.960627","0.000000","0.000000",797538,276778,,162921711,162921713,NA,NA,NA,USSLOWL,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,
"58740bdd-2ba6-4b2a-896c-f223c572774b",277,"Portfolio Summary",14880,"25.001810","0.016822","8.681613","0.000000","204.541622","0.247675","1.442768","10.258610","15.200397","0.000000","0.000000",120161,29726,,69313,NA,NA,NA,NA,NA,38,,38,38,38,38,,,,,,,,6,,,6,,9,,,,,,,
"5c8389a5-4b6e-4b25-afce-115195a951b4",4898,"Factor Performance Attribution",NA,"192824.608180","0.012136","300.850072","0.000000","4.785677","1.004907","4.283602","8.051580","10.055892","0.000000","0.000000",731311,253531,,162921711,162921713,NA,NA,NA,USSLOWL,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,
"4143f905-ebc7-4eae-8e39-3368f39024a7",1811,"Portfolio Summary",1812,"7826.646829",0,"0.194081","0.000000","4.701484","0.598512","2.931942","3.416566","3.527951","0.000000","0.000000",224403,129832,,69313,NA,NA,NA,NA,GEMLTL,2,,4,4,4,4,,,,,,,,1,,,1,,4,,,,,4,,
"6868d820-4f7d-408d-810b-2f0caffcc3d5",4843,"Factor Performance Attribution",NA,"355403.002947","0.019294","321.749495","0.000000","8.265002","22.596096","11.126710","9.130055","15.184767","0.000000","0.000000",1010342,274761,,162921711,162921713,NA,NA,NA,USSLOWL,5,,6,6,6,6,,,,,,,,,,,,,5,,,,,,,
"6282c3fa-f603-41c0-b3a8-013dacee1608",4834,"Factor Performance Attribution",NA,"27.009570",0,0,"0.000000","4819.588718","0.232981","0.340390","0.330621","0.745556","0.000000","0.000000",4129,6182,,162921711,162921713,NA,NA,NA,USSLOWL,,,,,,,,,,,,,,,,,,,,,,,,,,
"20d1b1ef-fe8f-4eb7-8594-5e1c8256f37e",1760,"Portfolio Summary",1836,"14685.860219",0,"0.266581","0.000000","4.671512","0.874341","1.602585","2.228134","2.235162","0.000000","0.000000",199269,118873,,69313,NA,NA,NA,NA,GEM3L,43,,43,43,43,43,,,,,,,,,,,,1,43,,,,,,,
"09e459c8-a5b4-4c89-b469-d723acfd29bd",14432,"Factor Risk Overview",NA,"957.718457",0,0,"0.000000","3.202024","0.069267","2.657049","1.472534","3.313130","0.000000","0.000000",104863,23808,,56695,NA,NA,NA,NA,GEMLTL,,,,,,,,,,,,,,,,,,,,,,,,,,
"a00eeedd-0723-4ce9-bc01-e1cbfd8966fa",14414,"MSCI FaCS",NA,"42.580734",0,0,0,"0.134397","0.202977","0.198104","4.453960","5.474990","0.000000","0.000000",8452,18931,,56695,NA,NA,NA,NA,BASE,,,,,,,,,,,,,,,,,,,,,,,,,,
"37737672-415e-4774-b229-db8be193049d",1737,"Portfolio Summary",NA,"0.000144","0.001118",0,"0.000000","1532.648890","0.003536","0.561024","0.021920","0.021920","0.000000",0,28927,1811,,69313,NA,NA,NA,NA,GEM3L,,,,,,,,,,,,,,,,,,,,,,,,,,
"189b23a8-49fc-432a-8ffa-5e813f1e760d",1737,"Portfolio Summary",NA,"39.833245",0,0,0,"1532.890562","0.009577","0.283408","0.062978","0.062978","0.000000","0.000000",17632,3782,,69313,NA,NA,NA,NA,GEM3L,,,,,,,,,,,,,,,,,,,,,,,,,,
"cf8c4383-633d-4c69-a9e5-191d43a5cd14",1735,"Portfolio Summary",3936,"156.899584","0.008287",0,"0.000000","1.792564","0.239620","0.136131","3.049533","22.476834","0.000000","0.000000",23629,27126,,69313,NA,NA,NA,NA,NA,,,,,,,,,,,,,,3,,,3,21,,,,,,,,
"9aabfd76-2c97-4740-a682-fce392a1a273",14410,"Sector Sensitivity",392,"0.170444","0.000091",0,"0.000000","0.815914","0.048276","0.545241","1.466294","2.005472","0.000000","0.000000",15172,2459,,56695,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
"e56d28ce-b329-430c-8d3e-56558c286487",1733,"Portfolio Summary",NA,"43.566865",0,0,0,"1532.486278","0.015027","0.054946","0.103820","0.103820","0.000000","0.000000",5144,2131,,69313,NA,NA,NA,NA,GEM3L,,,,,,,,,,,,,,,,,,,,,,,,,,
"9a6b0e09-9ebf-4d98-8685-dbbebe041e8b",1678,"Portfolio Summary",1811,"16.946966",0,"0.216416","0.000000","0.150925","0.027065","0.136408","0.085757","0.085757","0.000000","0.000000",9065,1732,,69313,NA,NA,NA,NA,GEM3L,,,,,,,,,,,,,,,,,,,,,,,,,,
"d59b5696-3acc-4a01-8d9b-4a61eeaa254e",17770,"ESG Rating Overview - UC - GCs",NA,"0.424744",0,0,"3.096466","0.000000","0.047085","0.002060","3.402654","3.402654","0.000000","0.000000",301,12852,,1020573,NA,NA,NA,NA,GEM3L,,,1,1,1,1,,,,,,,,,,,,,1,,,,,2,,
"7646df02-7dee-4146-b6cb-80403e508cd4",1574,"Brinson Allocation Performance (Beta)",213604,"5974.982716","0.081547","151.445351","285.310646","1727.243401","7.167687","122.760508","95.703229","212.136918","0.000000","0.000000",2604679,532151,,69313,NA,NA,NA,NA,NA,62,,62,62,62,62,,,,,,,,29,,,29,,34,,,,,,,
"cb96b112-71a7-44c7-9a95-a3196031e30d",1768,"Factor Performance Attribution",NA,"0.000100","0.014816","6.289281","0.000000","0.000000","0.013139","0.000630","0.043463","0.043463","0.000000","0.000000",278,250,,162921711,162921713,NA,NA,NA,USSLOWL,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,
"55897b1e-e5f8-4c8c-b693-f92563fbeb67",1645,"Brinson Allocation Performance (Beta)",119470,"84364.452691","5.224888","85.638407","430.423510","2635.080708","5.326665","108.604684","120.468287","250.396918","0.000000","0.000000",2451083,1048587,,69313,NA,NA,NA,NA,NA,283,,283,283,283,283,,,,,,,,81,,,81,61,183,,,,,,,
"2a798c87-94fc-43cb-908e-3eaf24b76f32",4287,"Factor Performance Attribution",NA,"0.000168","0.011048","11.594201","0.000000","0.000000","0.009824","0.104013","0.005669","0.005669","0.000000","0.000000",524,4,,162921711,162921713,NA,NA,NA,USSLOWL,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,
"3e7f2812-eafd-40c3-8464-e1eb90f0ff08",4201,"Factor Performance Attribution",NA,"0.000078",0,0,0,"4199.215524",0,0,"0.000037","0.000037",0,0,1,0,,162921711,162921713,NA,NA,NA,USSLOWL,,,,,,,,,,,,,,,,,,,,,,,,,,
"e1a51ce3-af60-486a-9b74-45b0fac2edb0",2763,"Factor Performance Attribution",NA,"0.000105","0.007581","8.554070","0.000000","0.000000","0.025013","0.000633","0.026175","0.026175","0.000000","0.000000",272,256,,162921711,162921713,NA,NA,NA,USSLOWL,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,
