dtiTransId,duration,batch,totalQueryWeight,CRDTHitAndMatch,MarketDataMakeKeyBreakdown,DtsQueryBreakdown,RemoteServiceQueueWC,RemoteServiceCacheWaitWC,CacheMissBreakdownInMemory,CacheHitBreakdownInMemory,CacheOverheadWallClock,CacheOverheadTimings,CacheMissBreakdownRedis,CacheHitBreakdownRedis,totalCacheHitOrWaits,totalCacheMisses,totalNumNonBatched,portfolio,portfolio2,portfolio3,portfolio4,portfolio5,riskmodel,addPositionsByHoldings,addPositionsByHoldingsWithoutAggregation,"create SinglePortfolioContext",createDatedPortfolioContext,"destroy DatedPortfolioContext","destroy SinglePortfolioContext","get Factor exposures",getAssetFactorRiskContributions,getAssetReturnsByBarraIdsWithPriority,getAssetReturnsByMarketIdsWithPriority,getFactorReturn,getFactorTree,getIndexLevelData,getLightPortfolioWithLastUpdated,getModelDescriptors,getPortfolioAttributeValues,"getPortfolioAttributes list",getPortfolioLastUpdated,"getPortfolioPositions with PositionsReportSpec",getPositionsWithTnC,getPriceHistoryByBarraIdWithPriority,getPriceHistoryByMarketIdsWithPriority,getReportDispatcherReport,searchPortfolioTree,"userAttributeRmiSvc getAttributeProperties","singlePortfolioContextRmiSvc getPortfolioInstrumentReturn"
"758f9420-6f80-4322-b1b2-9722d35f510e",121,"Factor Performance Attribution",,,,,,,,,,,,,485334,393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"d12dce87-1314-48ed-bbbe-46a246d5fcbe",120,"Factor Performance Attribution",,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"f8e51f3a-0c1c-419d-8f97-311e6ead9221",120,"Factor Performance Attribution",,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"e4292090-f579-47bc-8d8f-d225a3bbb028",222,"Return Attribution",,,,,,,,,,,,,1466,523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"e91efa92-6ea6-447b-ba6c-511b06eb846b",179,"Factor Risk Overview",,,,,,,,,,,,,219706,159612,,,,,,,,14,,53,53,53,53,,,,,,,,,,,,,53,,,,,78,,
"8f25f8df-8553-4f33-aaa1-dd419128f4ed",164,"Return Attribution",,,,,,,,,,,,,731,543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"de73ea5b-7bbb-4024-8040-89c851c5bab7",177,"Single Portfolio Summary",,,,,,,,,,,,,2054943,367361,,,,,,,,79,,79,79,79,79,,,,,,,,,,,,,23,23,,,,,,56
"b2cf98d6-dbe1-4377-bcd1-cc1f99e1a93d",159,"Factor Performance Attribution",,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"23107767-cb97-4792-beae-d35122e00f00",160,"Factor Performance Attribution",,,,,,,,,,,,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1d433c67-daa7-4447-87f6-f8dd9cc9e1af",174,"Single Portfolio Summary",,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
