dtiTransId,duration,batch,totalQueryWeight,CRDTHitAndMatch,MarketDataMakeKeyBreakdown,DtsQueryBreakdown,RemoteServiceQueueWC,RemoteServiceCacheWaitWC,CacheMissBreakdownInMemory,CacheHitBreakdownInMemory,CacheOverheadWallClock,CacheOverheadTimings,totalCacheHitOrWaits,totalCacheMisses,portfolio,portfolio2,portfolio3,portfolio4,portfolio5,riskmodel,addPositionsByHoldings,create SinglePortfolioContext,createDatedPortfolioContext,destroy DatedPortfolioContext,destroy SinglePortfolioContext,getLightPortfolioWithLastUpdated,getPortfolioAttributes list,getPortfolioLastUpdated,getPortfolioPositions with PositionsReportSpec,getPositionsWithTnC,searchPortfolioTree,singlePortfolioContextRmiSvc getPortfolioInstrumentReturn
f8af2bb3-e0f8-4d46-b1ac-815994c3e7f9,6394,FI Overview,395271,782130.0783,0,0,153.492672,1872.866933,871.35836,28985.52541,420.982469,1345.418127,103513008,10102532,1006782,1007943,1009312,1009318,1010360,NA,,,,,,,,1,,,,
2207718e-d8c9-4089-b582-66f74a6f3970,1327,Factor Risk and Return,3216,18356.84039,1.57348,36.824894,602.605293,2176.747875,13.386627,69.023544,420.895973,852.048546,7249290,2115743,148605541,148605543,NA,NA,NA,GEMLTL,,,,,,,,,,,,
cf04fc63-471d-4cc9-979c-f3248f087745,2147,HP Universe Returns,410447,186540.7991,0.048231,1116.362173,35.508017,222.478594,154.347598,1075.673628,395.543019,834.992408,4958529,1401953,1011920,1012310,1022856,23299,26444,USSLOWL,69,69,69,69,69,,34,173,,,,69
dd0ef819-2753-4021-acc6-69c5e616b6f7,2324,Portfolio Summary,460810,24396.31084,0.079802,296.907535,0,1498.265507,15.602533,169.897559,393.047341,917.455734,6566057,2237786,,,,,,,852,852,852,852,852,,,,487,487,,
9c5d2791-f706-4ccf-a16e-eb4bb537fc02,1382,Factor Performance Overview - UC - GCs,272686,16151.85163,0.185357,2981.764964,165.734547,2050.354786,17.080127,199.061409,362.970242,703.721139,3070915,1084242,1020573,1090258,25504,NA,NA,GEMLTL,362,362,362,362,362,,,262,173,173,,
143478c3-3e53-44fb-a870-8a996e6a1ac5,1753,Brinson Performance Attribution (Beta),433820,376840.3415,73.047253,319.252306,484.542164,1160.227362,40.180738,658.542492,354.833341,1230.714247,8429370,3302947,162921713,NA,NA,NA,NA,NA,223,223,223,223,223,6,6,68,22,,,
ef29803e-b1ce-459f-b127-d62453f7dc45,2225,Brinson Performance Attribution (Beta),NA,1011616.841,0.001193,0,18.540469,25.955539,17.42133,161.318877,354.759612,359.109293,8400058,3526742,162921713,NA,NA,NA,NA,NA,218,218,218,218,218,,,,218,,,
0e1f4324-7570-44b3-ba4c-6bf574fb7c99,1123,Return Attribution,1608,20124.51616,0.422586,16.804051,593.983979,1659.512825,10.017043,53.5258,352.540874,704.762961,4111529,1650016,148605541,148605543,NA,NA,NA,GEMLTL,,,,,,,,,,,,
a8b6652e-5b50-4dad-a111-677b9eed0310,934,Return Attribution,1608,81075.02685,20.207416,19.91531,442.24302,781.89594,14.115655,72.082657,329.276439,1302.832716,4096791,2011914,148605541,148605543,NA,NA,NA,GEMLTL,,,,,,,,,,,,
d04a5232-06bc-4f66-baf6-bc54f82c5041,1527,Factor Performance Attribution,485088,28136.44762,1.481961,1674.193913,261.587051,2921.014579,49.569784,1365.716517,326.889825,776.559929,5332804,780236,1024038,NA,NA,NA,NA,GEMLTL,306,306,306,306,306,13,13,97,93,,,
1194f7d1-9f9e-49ea-92c6-f7b61445bc44,654,Asset Performance Contribution,547246,79779.54027,32.914497,434.321649,129.54305,588.256622,33.707375,563.946648,325.978841,1080.019514,7018401,1933352,40424,NA,NA,NA,NA,NA,404,404,404,404,404,62,62,70,252,,,
3a11e1bd-02ab-437f-865c-cd714e34fd7c,1859,Brinson Performance Attribution (Beta),440510,414733.1984,0.175804,333.003291,651.828224,1223.160518,22.264814,892.12807,320.857581,1338.94314,8608899,3650646,162921713,NA,NA,NA,NA,NA,232,232,232,232,232,4,4,63,21,,,
de919d02-5bff-448f-96ab-02be0e88cc06,1488,Brinson Performance Attribution (Beta),433820,297535.7774,614.160075,309.919,362.28148,1461.055268,23.158802,938.006952,311.392927,1100.88094,8407804,2874444,162921713,NA,NA,NA,NA,NA,308,308,308,308,308,28,28,67,104,,,
ad300596-fda2-4ece-81b8-f59e805a7055,753,Asset Performance Contribution,547246,62488.959,0.085608,3047.138027,249.280959,664.233746,41.193313,972.384693,307.956877,1193.081458,7424799,1757904,40424,NA,NA,NA,NA,NA,259,259,259,259,259,38,38,89,111,,,
c37f0db2-4e21-47c5-9135-b43224788bf0,4770,Portfolio ESG Performance,1135787,86955.37992,97200.07611,268.538059,3186.573234,4297.716454,45.695782,864.143547,288.934767,858.687363,4693637,1708084,1016841,1025750,1101795,NA,NA,NA,72,72,72,72,72,,184,312,1,,,71
